pwsid,supply_name,county,year,lines_replaced
MI0005710,RIVERVIEW,WAYNE,2023,7
MI0005720,ROCHESTER,OAKLAND,2023,6
MI0005730,ROCKFORD,KENT,2023,42
MI0005785,ROMULUS,WAYNE,2023,8
MI0005800,ROOSEVELT PARK,MUSKEGON,2023,39
MI0005810,"ROSCOMMON, VILLAGE OF",ROSCOMMON,2023,4
MI0005820,"ROSEVILLE, CITY OF",MACOMB,2023,4
MI0005830,"ROYAL OAK, CITY OF",OAKLAND,2023,266
MI0005840,ROYAL OAK TOWNSHIP,OAKLAND,2023,16
MI0005850,"SAGINAW, CITY OF",SAGINAW,2023,931
MI0005900,SALINE,WASHTENAW,2023,1
MI0005920,"SANDUSKY, CITY OF",SANILAC,2023,2
MI0005950,SAULT STE MARIE,CHIPPEWA,2023,7
MI0005970,SCHOOLCRAFT,KALAMAZOO,2023,3
MI0005980,"SCOTTVILLE, CITY OF",MASON,2023,10
MI0006000,SHELBY,OCEANA,2023,235
MI0006030,"SHEPHERD, VILLAGE OF",ISABELLA,2023,3
MI0006101,SOUTH HAVEN AREA WATER & SEWER AUTHORITY,VAN BUREN,2023,45
MI0006160,SOUTHFIELD,OAKLAND,2023,1
MI0006170,SOUTHGATE,WAYNE,2023,17
MI0006200,SPARTA,KENT,2023,16
MI0006230,SPRING LAKE,OTTAWA,2023,17
MI0006240,SPRINGFIELD,CALHOUN,2023,15
MI0006260,"ST. CHARLES, VILLAGE OF",SAGINAW,2023,50
MI0006270,"ST. CLAIR, CITY OF",ST. CLAIR,2023,7
MI0006280,"ST. CLAIR SHORES, CITY OF",MACOMB,2023,14
MI0006300,"ST. JOHNS, CITY OF",CLINTON,2023,4
MI0006310,ST JOSEPH,BERRIEN,2023,222
MI0006320,"ST. LOUIS, CITY OF",GRATIOT,2023,13
MI0006440,STURGIS,ST. JOSEPH,2023,45
MI0006500,"SUTTONS BAY, VILLAGE OF",LEELANAU,2023,1
MI0006545,TAYLOR,WAYNE,2023,28
MI0006600,THREE OAKS,BERRIEN,2023,1
MI0006610,THREE RIVERS,ST. JOSEPH,2023,2
MI0006640,TRAVERSE CITY,GRAND TRAVERSE,2023,125
MI0006650,TRENTON,WAYNE,2023,9
MI0006720,UNION CITY,BRANCH,2023,4
MI0006800,VICKSBURG,KALAMAZOO,2023,1
MI0006900,"WARREN, CITY OF",MACOMB,2023,65
MI0006930,WATERVLIET,BERRIEN,2023,6
MI0006940,WAYLAND,ALLEGAN,2023,5
MI0006950,WAYNE,WAYNE,2023,153
MI0006975,WEST BLOOMFIELD TOWNSHIP,OAKLAND,2023,3
MI0007010,"WEST BRANCH, CITY OF",OGEMAW,2023,95
MI0007040,WESTLAND,WAYNE,2023,2
MI0007060,WHITE CLOUD,NEWAYGO,2023,2
MI0007070,WHITE PIGEON,ST. JOSEPH,2023,5
MI0007100,WHITEHALL,MUSKEGON,2023,26
MI0007210,WYANDOTTE,WAYNE,2023,27
MI0007260,YPSILANTI COMMUNITY UTILITY AUTHORITY,WASHTENAW,2023,18
MI0007270,ZEELAND BOARD OF PUBLIC WORKS,OTTAWA,2023,246
MI0000040,ADRIAN,LENAWEE,2024,88
MI0000100,ALBION,CALHOUN,2024,3
MI0000120,ALLEGAN,ALLEGAN,2024,124
MI0000130,ALLEN PARK,WAYNE,2024,43
MI0000140,"ALMA, CITY OF",GRATIOT,2024,6
MI0000150,"ALMONT, VILLAGE OF",LAPEER,2024,3
MI0000160,"ALPENA, CITY OF",ALPENA,2024,51
MI0000220,ANN ARBOR,WASHTENAW,2024,63
