pwsid,supply_name,lead_lines,gpcl_lines,non_lead_lines,unknown_lines,total_lines,calc_total,inventory_status,total_mismatch
MI0005670   ,"RICHMOND, CITY OF",0.0,81.0,2204.0,323.0,2608.0,2608.0,complete,False
MI0005673   ,RIDGEWAY,0.0,0.0,2.0,0.0,2.0,2.0,complete,False
MI0005675   ,RIGA TOWNSHIP,0.0,0.0,132.0,0.0,132.0,132.0,complete,False
MI0005680   ,FRANKLIN TOWNSHIP,0.0,0.0,29.0,0.0,29.0,29.0,complete,False
MI0005690   ,RIVER ROUGE,155.0,0.0,371.0,2481.0,3007.0,3007.0,complete,False
MI0005692   ,RIVERBROOKE HOME OWNERS ASSOCIATION,0.0,0.0,16.0,0.0,16.0,16.0,complete,False
MI0005710   ,RIVERVIEW,84.0,1.0,3716.0,38.0,3839.0,3839.0,complete,False
MI0005712   ,RIVERWALK DEVELOPMENT,,,65.0,,65.0,65.0,incomplete,False
MI0005720   ,ROCHESTER,0.0,9.0,2468.0,4.0,2481.0,2481.0,complete,False
MI0005723   ,ROCHESTER EAST,0.0,0.0,1747.0,0.0,1747.0,1747.0,complete,False
MI0005730   ,ROCKFORD,44.0,357.0,2174.0,0.0,2575.0,2575.0,complete,False
MI0005740   ,ROCKLAND TOWNSHIP,15.0,45.0,76.0,3.0,142.0,139.0,complete,True
MI0005750   ,ROCKWOOD,0.0,0.0,997.0,86.0,1083.0,1083.0,complete,False
MI0005760   ,IRON RIVER TOWNSHIP-RYDEN ROAD,0.0,0.0,141.0,0.0,141.0,141.0,complete,False
MI0005770   ,"ROGERS CITY, CITY OF",0.0,0.0,1495.0,0.0,1495.0,1495.0,complete,False
MI0005775   ,ROLLING MEADOWS WATER ASSN.,0.0,0.0,31.0,0.0,31.0,31.0,complete,False
MI0005780   ,"ROMEO, VILLAGE OF",0.0,0.0,1024.0,551.0,1575.0,1575.0,complete,False
MI0005785   ,ROMULUS,43.0,14.0,2853.0,5533.0,8443.0,8443.0,complete,False
MI0005800   ,ROOSEVELT PARK,224.0,107.0,1080.0,0.0,1411.0,1411.0,complete,False
MI0005810   ,"ROSCOMMON, VILLAGE OF",0.0,57.0,27.0,393.0,477.0,477.0,complete,False
MI0005815   ,"ROSE CITY, CITY OF",0.0,0.0,66.0,0.0,66.0,66.0,complete,False
MI0005816   ,ROSE HILL CENTER,0.0,0.0,3.0,0.0,3.0,3.0,complete,False
MI0005819   ,HIDDEN SHORES WEST,,,20.0,,20.0,20.0,incomplete,False
MI0005820   ,"ROSEVILLE, CITY OF",108.0,127.0,17285.0,983.0,18503.0,18503.0,complete,False
MI0005821   ,ROSEVILLE APARTMENTS,0.0,0.0,4.0,0.0,4.0,4.0,complete,False
MI0005823   ,ROSEBUSH ESTATES APARTMENTS,0.0,0.0,1.0,0.0,1.0,1.0,complete,False
MI0005824   ,ROSEBUSH MANOR,,,1.0,,1.0,1.0,incomplete,False
MI0005830   ,"ROYAL OAK, CITY OF",879.0,723.0,21247.0,766.0,23615.0,23615.0,complete,False
MI0005840   ,ROYAL OAK TOWNSHIP,7.0,3.0,659.0,97.0,766.0,766.0,complete,False
MI0005841   ,ROYAL VIEW RETIREMENT VILLAGE,0.0,0.0,1.0,0.0,1.0,1.0,complete,False
MI0005844   ,RUDYARD TOWNSHIP,0.0,0.0,192.0,0.0,192.0,192.0,complete,False
MI0005849   ,SADDLE RIDGE CONDO ASSOC.,0.0,0.0,230.0,0.0,230.0,230.0,complete,False
MI0005850   ,"SAGINAW, CITY OF",6317.0,0.0,19769.0,736.0,26822.0,26822.0,complete,False
MI0005860   ,SAGINAW CHARTER TOWNSHIP,0.0,0.0,15271.0,0.0,15271.0,15271.0,complete,False
MI0005880   ,SAGINAW-MIDLAND WATER SUPPLY,0.0,0.0,0.0,0.0,0.0,0.0,complete,False
MI0005900   ,SALINE,43.0,0.0,1629.0,1468.0,3140.0,3140.0,complete,False
MI0005901   ,SALINE VALLEY FARMS,0.0,0.0,156.0,,156.0,156.0,incomplete,False
MI0005903   ,SAND BEACH TOWNSHIP,0.0,0.0,207.0,0.0,207.0,207.0,complete,False
MI0005905   ,SANDHILL MANOR,0.0,0.0,12.0,0.0,12.0,12.0,complete,False
MI0005907   ,SAND LAKE,0.0,0.0,227.0,0.0,227.0,227.0,complete,False
MI0005911   ,SANDY PINES,,,54.0,,54.0,54.0,incomplete,False
MI0005920   ,"SANDUSKY, CITY OF",0.0,0.0,1043.0,0.0,1043.0,1043.0,complete,False
MI0005925   ,SANILAC TOWNSHIP,0.0,0.0,523.0,0.0,523.0,523.0,complete,False
MI0005930   ,SARANAC,0.0,0.0,343.0,143.0,486.0,486.0,complete,False
MI0005950   ,SAULT STE MARIE,199.0,186.0,4880.0,,5265.0,5265.0,incomplete,False
MI0005970   ,SCHOOLCRAFT,121.0,194.0,331.0,,646.0,646.0,incomplete,False
MI0005977   ,SCIO TOWNSHIP,0.0,0.0,2675.0,0.0,2675.0,2675.0,complete,False
MI0005980   ,"SCOTTVILLE, CITY OF",28.0,84.0,466.0,9.0,587.0,587.0,complete,False
MI0005990   ,SEBEWAING LIGHT & WATER,0.0,0.0,980.0,0.0,980.0,980.0,complete,False
MI0005991   ,SENEY TOWNSHIP,0.0,0.0,91.0,0.0,91.0,91.0,complete,False
MI0005995   ,SHANTY CREEK - WATARS ASSOCIATION,0.0,0.0,70.0,0.0,70.0,70.0,complete,False
MI0006000   ,SHELBY,57.0,289.0,454.0,0.0,800.0,800.0,complete,False
MI0006010   ,SHELBY TOWNSHIP,0.0,0.0,24808.0,0.0,24808.0,24808.0,complete,False
MI0006025   ,SHELDON DUNES,0.0,0.0,32.0,60.0,92.0,92.0,complete,False
MI0006026   ,PORT SHELDON TOWNSHIP,0.0,0.0,88.0,147.0,235.0,235.0,complete,False
MI0006030   ,"SHEPHERD, VILLAGE OF",0.0,32.0,560.0,0.0,,592.0,incomplete,False
MI0006040   ,SHERIDAN,0.0,29.0,251.0,0.0,280.0,280.0,complete,False
MI0006042   ,SHERWOOD SHORES CONDOMINIUMS,0.0,0.0,37.0,0.0,37.0,37.0,complete,False
MI0006070   ,SHOREWOOD HILLS SUBDIVISION,0.0,0.0,59.0,13.0,72.0,72.0,complete,False
MI0006071   ,"SILVER LAKE WATER AUTHORITY, INC.",0.0,0.0,123.0,0.0,123.0,123.0,complete,False
MI0006072   ,VICINIA GARDENS,0.0,0.0,4.0,0.0,4.0,4.0,complete,False
MI0006073   ,SIMS-WHITNEY UTILITIES AUTH.,0.0,0.0,1744.0,0.0,1744.0,1744.0,complete,False
MI0006074   ,"SISTERS OF MARY, MOTHER OF EUCHARIST",0.0,0.0,1.0,0.0,1.0,1.0,complete,False
MI0006075   ,SKANDIA-WEST BRANCH WATER DEPT,0.0,0.0,81.0,0.0,81.0,81.0,complete,False
MI0006077   ,BAVARIAN SOFTWATER VILLAGE,0.0,0.0,48.0,0.0,48.0,48.0,complete,False
MI0006079   ,SODUS TOWNSHIP,0.0,0.0,27.0,0.0,27.0,27.0,complete,False
MI0006080   ,SOUTH BLOOMFIELD HIGHLANDS,,,207.0,2.0,209.0,209.0,incomplete,False
MI0006081   ,"SOMMERSET WATER WORKS, INC.",0.0,0.0,14.0,0.0,14.0,14.0,complete,False
MI0006090   ,STAMBAUGH TOWNSHIP-WEST BRULE,0.0,0.0,206.0,260.0,466.0,466.0,complete,False
MI0006101   ,SOUTH HAVEN AREA WATER & SEWER AUTHORITY,31.0,203.0,2981.0,1860.0,5075.0,5075.0,complete,False
MI0006110   ,"SOUTH LYON, CITY OF",2.0,38.0,3233.0,457.0,3730.0,3730.0,complete,False
MI0006115   ,SOUTH POINTE I APARTMENTS,0.0,0.0,1.0,0.0,1.0,1.0,complete,False
MI0006116   ,SOUTH POINTE II APARTMENTS,0.0,0.0,1.0,0.0,1.0,1.0,complete,False
MI0006117   ,SOUTH POINTE III APARTMENTS,0.0,0.0,2.0,0.0,2.0,2.0,complete,False
MI0006120   ,SOUTH RANGE,0.0,0.0,349.0,0.0,349.0,349.0,complete,False
MI0006130   ,SOUTH ROCKWOOD,0.0,0.0,561.0,0.0,561.0,561.0,complete,False
MI0006150   ,SOUTHEASTERN OAKLAND CO W AUTH,,,,,0.0,0.0,incomplete,False
MI0006160   ,SOUTHFIELD,1.0,1.0,18532.0,1570.0,20104.0,20104.0,complete,False
MI0006170   ,SOUTHGATE,192.0,9735.0,16.0,663.0,10606.0,10606.0,complete,False
MI0006200   ,SPARTA,0.0,56.0,1530.0,49.0,1635.0,1635.0,complete,False
MI0006210   ,SPAULDING TOWNSHIP,0.0,0.0,780.0,0.0,780.0,780.0,complete,False
MI0006230   ,SPRING LAKE,,1110.0,137.0,,1247.0,1247.0,incomplete,False
