pwsid,year,county_for_checking,lines_replaced
MI0005720,2024,OAKLAND,7
MI0005730,2023,KENT,42
MI0005730,2024,KENT,47
MI0005785,2021,WAYNE,3
MI0005785,2022,WAYNE,11
MI0005785,2023,WAYNE,8
MI0005785,2024,WAYNE,11
MI0005800,2021,MUSKEGON,7
MI0005800,2022,MUSKEGON,5
MI0005800,2023,MUSKEGON,39
MI0005800,2024,MUSKEGON,23
MI0005810,2021,ROSCOMMON,3
MI0005810,2022,ROSCOMMON,5
MI0005810,2023,ROSCOMMON,4
MI0005810,2024,ROSCOMMON,7
MI0005820,2021,MACOMB,3
MI0005820,2022,MACOMB,3
MI0005820,2023,MACOMB,4
MI0005820,2024,MACOMB,8
MI0005830,2021,OAKLAND,225
MI0005830,2022,OAKLAND,192
MI0005830,2023,OAKLAND,266
MI0005830,2024,OAKLAND,267
MI0005840,2021,OAKLAND,2
MI0005840,2022,OAKLAND,1
MI0005840,2023,OAKLAND,16
MI0005840,2024,OAKLAND,9
MI0005850,2021,SAGINAW,713
MI0005850,2022,SAGINAW,1143
MI0005850,2023,SAGINAW,931
MI0005850,2024,SAGINAW,1133
MI0005900,2023,WASHTENAW,1
MI0005900,2024,WASHTENAW,1
MI0005920,2023,SANILAC,2
MI0005920,2024,SANILAC,4
MI0005950,2021,CHIPPEWA,3
MI0005950,2022,CHIPPEWA,2
MI0005950,2023,CHIPPEWA,7
MI0005950,2024,CHIPPEWA,14
MI0005970,2021,KALAMAZOO,1
MI0005970,2022,KALAMAZOO,5
MI0005970,2023,KALAMAZOO,3
MI0005970,2024,KALAMAZOO,21
MI0005980,2022,MASON,8
MI0005980,2023,MASON,10
MI0005980,2024,MASON,3
MI0006000,2021,OCEANA,2
MI0006000,2022,OCEANA,2
MI0006000,2023,OCEANA,235
MI0006000,2024,OCEANA,76
MI0006030,2021,ISABELLA,4
MI0006030,2023,ISABELLA,3
MI0006030,2024,ISABELLA,264
MI0006040,2024,MONTCALM,1
MI0006101,2021,VAN BUREN,59
MI0006101,2022,VAN BUREN,101
MI0006101,2023,VAN BUREN,45
MI0006101,2024,VAN BUREN,69
MI0006110,2024,OAKLAND,1
MI0006160,2021,OAKLAND,1
MI0006160,2022,OAKLAND,1
MI0006160,2023,OAKLAND,1
MI0006160,2024,OAKLAND,14
MI0006170,2021,WAYNE,30
MI0006170,2022,WAYNE,5
MI0006170,2023,WAYNE,17
MI0006170,2024,WAYNE,35
MI0006200,2021,KENT,5
MI0006200,2022,KENT,21
MI0006200,2023,KENT,16
MI0006200,2024,KENT,18
MI0006230,2021,OTTAWA,4
MI0006230,2022,OTTAWA,7
MI0006230,2023,OTTAWA,17
MI0006230,2024,OTTAWA,52
MI0006240,2021,CALHOUN,2
MI0006240,2023,CALHOUN,15
MI0006260,2022,SAGINAW,3
MI0006260,2023,SAGINAW,50
MI0006260,2024,SAGINAW,20
MI0006270,2023,ST. CLAIR,7
MI0006270,2024,ST. CLAIR,14
MI0006280,2021,MACOMB,322
MI0006280,2022,MACOMB,29
MI0006280,2023,MACOMB,14
MI0006280,2024,MACOMB,7
MI0006284,2024,ST. CLAIR,1
MI0006300,2021,CLINTON,3
MI0006300,2022,CLINTON,3
MI0006300,2023,CLINTON,4
MI0006300,2024,CLINTON,4
MI0006310,2021,BERRIEN,130
MI0006310,2022,BERRIEN,199
MI0006310,2023,BERRIEN,222
MI0006310,2024,BERRIEN,170
MI0006320,2021,GRATIOT,8
MI0006320,2022,GRATIOT,5
MI0006320,2023,GRATIOT,13
MI0006320,2024,GRATIOT,19
MI0006350,2021,ARENAC,3
MI0006350,2024,ARENAC,1
MI0006360,2024,MONTCALM,4
MI0006420,2021,INGHAM,1
MI0006440,2021,ST. JOSEPH,69
MI0006440,2022,ST. JOSEPH,30
MI0006440,2023,ST. JOSEPH,45
MI0006440,2024,ST. JOSEPH,51
MI0006500,2022,LEELANAU,4
MI0006500,2023,LEELANAU,1
MI0006545,2021,WAYNE,7
MI0006545,2022,WAYNE,5
MI0006545,2023,WAYNE,28
MI0006545,2024,WAYNE,15
MI0006560,2024,LENAWEE,2
MI0006600,2021,BERRIEN,1
MI0006600,2022,BERRIEN,1
MI0006600,2023,BERRIEN,1
MI0006610,2022,ST. JOSEPH,1
MI0006610,2023,ST. JOSEPH,2
MI0006610,2024,ST. JOSEPH,4
MI0006630,2024,IRON,2
MI0006640,2021,GRAND TRAVERSE,21
