pwsid,system_name,county,population,monitoring_end_date,lead_90th_ppb,includes_5th_liter_or_not,sampling_next_due_subject_to_change,year,month
MI0000324,AUSABLE VALLEY COMMUNITY (APARTMENTS),OSCODA,147.0,2019-12-31,3.0,N,2022-09-30 00:00:00,2019.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (APARTMENTS),OSCODA,147.0,2020-12-31,0.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (APARTMENTS),OSCODA,147.0,2021-12-31,2.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (APARTMENTS),OSCODA,147.0,2022-12-31,5.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (APARTMENTS),OSCODA,147.0,2023-12-31,0.0,N,2025-09-30 00:00:00,2023.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147.0,2019-12-31,48.0,N,2020-06-30 00:00:00,2019.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147.0,2020-06-30,2.0,N,2020-12-31 00:00:00,2020.0,6.0
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147.0,2020-12-31,0.0,N,2021-09-30 00:00:00,2020.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147.0,2021-12-31,0.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147.0,2022-12-31,0.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (HOME),OSCODA,147.0,2023-12-31,2.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (VILLAGE),OSCODA,147.0,2019-12-31,0.0,N,2022-09-30 00:00:00,2019.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (VILLAGE),OSCODA,147.0,2020-12-31,0.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (VILLAGE),OSCODA,147.0,2022-12-31,0.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0000324,AUSABLE VALLEY COMMUNITY (VILLAGE),OSCODA,147.0,2023-12-31,0.0,N,2025-09-30 00:00:00,2023.0,12.0
MI0000322,AUSTIN COMMONS II,WASHTENAW,280.0,2017-12-31,4.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0000322,AUSTIN COMMONS II,WASHTENAW,280.0,2020-12-31,5.0,N,2023-09-30 00:00:00,2020.0,12.0
MI0000322,AUSTIN COMMONS II,WASHTENAW,280.0,2023-12-31,1.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0001910,AUTUMN HILLS,CASS,50.0,2016-12-31,3.0,N,2019-09-30 00:00:00,2016.0,12.0
MI0001910,AUTUMN HILLS,CASS,50.0,2019-12-31,0.0,N,2022-09-30 00:00:00,2019.0,12.0
MI0001910,AUTUMN HILLS,CASS,50.0,2022-12-31,0.0,N,2025-09-30 00:00:00,2022.0,12.0
MI0040074,AVRA ESTATES,BRANCH,87.0,2018-12-31,0.0,N,2021-09-30 00:00:00,2018.0,12.0
MI0040074,AVRA ESTATES,BRANCH,87.0,2021-12-31,0.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0000340,BAD AXE,HURON,3129.0,2018-12-31,2.0,N,2021-09-30 00:00:00,2018.0,12.0
MI0000340,BAD AXE,HURON,3129.0,2021-12-31,3.0,N,2024-09-30 00:00:00,2021.0,12.0
MI0000347,"BAIR LAKE BIBLE CAMP  (LODGE, WC, RVS)",CASS,372.0,2023-12-31,3.0,N,2024-06-30 00:00:00,2023.0,12.0
